Name,URL,Description,Price,Process Method,Total Score,Cultivar,Farm Gate,Region,Processing,Drying Method,Arrival Date,Lot Size,Bag Size,Packaging,Cultivar Detail,Grade,Appearance,Roast Recommendations,Type,Farm Notes,Latitude,Longitude,DryFragrance,WetAroma,Brightness,FlavorCup,CupBody,Finish,Sweetness,CleanCup,Complexity,Uniformity,Floral,Honey,Sugar,Caramel,Fruit,Citrus,Berry,Cocoa,Nuts,Rustic,Spice,FlavorBody
"10 lbs. ""XL"" Ethiopia Process Method Set",https://www.sweetmarias.com/10-lb-xl-ethiopia-process-method-set.html,This Ethiopia installation of our 10 lbs. EXTRA large coffee sets highlights the different flavors that come from the wet and dry process methods. This exploration of unique coffee flavors includes 5 lbs. of two standout Ethiopian coffees at a discounted price!,69.50,Various Process Methods,N/A,Heirloom Types,Yes,"Guji Zone, and Limu, Ethiopia","Wet Process (Washed), and Dry Process (Natural)",Raised Bed Sun Dried,N/A,N/A,N/A,GrainPro Liner,"Heirloom Cultivars, Bourbon",Grade 1,N/A,N/A,"Farm Gate, Sample Sets","What do we mean by ""processing""? Coffee cherries have to be processed in order to separate the fruit from seed so we can roast them. Though both process methods share this goal, the means by which they achieve it are quite different, and impact the coffee in unique ways.",,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
4 lbs. Ethiopia Process Method Set,https://www.sweetmarias.com/4-lbs-ethiopia-process-method-set.html,"This 4 lb. version of our Ethiopia process method set highlights the different flavors that come from the wet and dry process methods, and includes four of our top lots from the current menu.",32.50,Various Process Methods,N/A,Heirloom Types,Yes,"Guji Zone, and Limu, Ethiopia","Wet Process (Washed), and Dry Process (Natural)",Raised Bed Sun Dried,N/A,N/A,N/A,GrainPro Liner,Heirloom Cultivars,Grade 1,N/A,N/A,"Farm Gate, Sample Sets","What do we mean by ""processing""? Coffee cherries have to be processed in order to separate the fruit from seed so we can roast them. Though both process methods share this goal, the means by which they achieve it are quite different, and impact the coffee in unique ways.",,,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Burundi Dry Process Gahahe,https://www.sweetmarias.com/burundi-dry-process-gahahe-7884.html,"Relatively clean fruit flavor notes for dry process coffee, with moderate acidity, and a spiced cinnamon note in the cup aroma and aftertaste. Notes of blueberry, sticky dried fig, fruit tea, and cocoa. City to Full City.",7.90,Dry Process (Natural),90.2,Bourbon Types,Yes,Kayanza Province,Dry Process (Natural),Raised Bed Sun-Dried,March 2024 Arrival,60,60 KG,GrainPro Liner,Bourbon,A1,".8 d/300gr, 15-17 Screen",City to Full City,Farm Gate,"Gahahe Station is a coffee cherry collection site located in Kayanza, Burundi's northern province that borders neighboring Rwanda. Farmers grow mostly older bourbon types, the original coffee cultivar introduced to the area in the 1930s by Catholic monks traveling from the island of Reunion. Gahehe sits at just over 1800 meters above sea level and is a collection site for roughly 600 local farmers who are also coop members. As members, they are organized into small groups who receive training in best agricultural practices, seedlings to continue to help increase coffee production, and benefit from access to the global specialty coffee market. Gahahe was built in the mid 1980s, a time when the World Bank was investing heavily in Burundi's coffee sector, building out washing stations like this one to serve the surrounding coffee communities, outfitted with a eco-pulping Penagos for processing coffee cherry. More recently they've come under the direction of a Burundi coffee investment group who are able to offer this coffee, as well as a few others we've purchased (Yandaro, and Kibingo to name a couple), agronomical assistance to station members, regular maintenance of washing station equipment and drying beds, and management teams who follow the coffee deliveries from cherry selection, to keeping lots separated by quality tiers. Since partnering with this group, several of the stations have seen top placement in Burundi coffee competitions, including Gahahe placing 4th in the 2015 Burundi CoE, and 7th the year prior.",-2.920861,29.625449,9.0,9.0,0,9.1,9.0,8.7,8.7,8.5,9.2,8.5,0.0,0.0,3.0,1.5,3.0,0.0,3.0,3.0,0.0,0.5,2.5,4.0
Burundi Dry Process Kibingo,https://www.sweetmarias.com/burundi-dry-process-kibingo-7883.html,"Flavors shift with roast level. Notes of cooked fruit, tart hints of berry and citrus, bittersweet backdrop, and barley malt syrup note that adds an earthy, aromatic quality. City to Full City+. Good for espresso.",7.95,Dry Process (Natural),88.5,Bourbon Types,Yes,Kayanza Province,Dry Process (Natural),Raised Bed Sun-Dried,March 2024 Arrival,60,60 KG,GrainPro Liner,Bourbon,A1,".6 d/300gr, 15-17 Screen",City to Full City+,Farm Gate,"Unlike wet processing, where the cherry and fruit are removed before drying, dry process coffees (""natural"") are laid out with the cherry intact through the entire drying phase. With the fruit intact, dry times increase 3 to 4 fold, taking upwards to a month depending on weather. Dry process coffees tend to be fruit-forward, sometimes even ""winey"" in a slightly fermented flavor, bodied and acidity flattened to some degree. What we have here with Kibingo is a clean example of dry process coffee with a lot of fruit character, never quite reaching the ""ferment"" flavors. Kibingo Station is a coffee cherry collection site located in Kayanza, Burundi's northern province that borders neighboring Rwanda. The washing station acts as a central delivery site for a few thousand small holder famers who occupy the 18 hills that surround Kibingo. Kibingo sits at just under 1900 meters above sea level, and many of the farmers have coffee planted much higher than this. Kibingo is named after reeds that are growing in the river running alongside the station site, planted in order to help keep the soil at the banks from eroding. They've been around since the mid 1980s, and a couple years back, took 1st place at the Burundi Cup of Excellence competition, no small feat.",2.915696,29.629676,8.7,9.0,0,9.2,9.5,8.5,8.7,8.2,9.3,8.5,0.0,0.0,4.0,0.0,3.0,1.5,3.0,3.5,0.0,1.5,0.0,4.5
Burundi Dry Process Murambi,https://www.sweetmarias.com/burundi-dry-process-murambi-7939.html,"Flavors shift as the coffee cools, making it a fun one to take your time drinking. A backdrop of burnt sugar and milk chocolate are accented by notes of dried stone fruits, cranberry, and blueberry. City to Full City+.",8.55,Dry Process (Natural),90,Bourbon Types,Yes,"Murambi Hill, Kiganda",Dry Process (Natural),Raised Bed Sun Dried,March 2024 Arrival,25,60 KG,GrainPro Liner,Bourbon,A1,".2 d/300gr, 15-17 Screen",City to Full City+,Farm Gate,"Murambi is an impressive operation, a privately owned collection site in the Kiganda area near the Mubarazi river. The coffee processed at Murambi are from the surrounding hillside villages (""collines""), which there's talk of separating in the future, but this year was all blended together by day of delivery. Most of the farms are around 2000 meters above sea level and entirely planted in Bourbon. They mostly produce fully washed coffee using the traditional Kenyan method, but this is a dry process batch, often referred to as ""natural"". Dry processing involves leaving the cherry intact during the entire drying stage, which extends the time it takes to sufficiently dry the coffee to anywhere from 2 to 4 weeks. This tends to dim high notes/acidity, as well as impart fruited flavor notes on the cup profile, which can certainly be said about this lot. A few years back the station received a cash premium at the year's end for the coffees they exported, and the mill owner invested in 450 goats that were distributed to as many farmers who work with the station. The program is for the goats to both help with building out an organic farming system, as well as an added source of revenue for the farmers and is still in place today. It is also worth a mention that Murambi won the Burundi Cup of Excellence competition in 2012.",-3.136911,29.670254,8.8,9.0,0,9.1,9.5,8.5,8.7,8.3,9.3,8.5,0.0,0.0,3.0,0.0,3.0,0.0,3.0,4.0,0.0,1.0,0.0,4.5
Burundi Gatara Masha,https://www.sweetmarias.com/burundi-gatara-masha-7882.html,"Balanced sweetness, honey, dark malt, with hints of botanical bitters, cinnamon tea, and a bright-bittering cranberry aspect in the acidic impression. A fantastic coffee for cold brew too! City to Full City. Good for espresso.",7.70,Honey Process,89.6,Bourbon Types,Yes,"Gatara Commune, Kayanza Province",Honey Process - see notes,Raised Bed Sun-Dried,March 2024 Arrival,40,60 KG,GrainPro Liner,Bourbon,A1,".2 d/300gr, 15+ Screen",City to Full City,Farm Gate,"Masha Station is a coffee cherry collection site located in Gatara Commune, Kayanza, Burundi's northern province that borders neighboring Rwanda. The washing station acts as a central delivery site for a few thousand small holder famers who occupy the hills surrounding Masha. The name comes from the Kirundi word ""amasho"" that means ""herds of cattle"". That makes sense seeing that cattle herding just might rival coffee farming in the Masha region! Farmers grow mostly older bourbon types, the original coffee cultivar introduced to the area in the 1930s by Catholic monks traveling from the island of Reunion. Masha coffee washing station (""CWS"") sits at just under 1700 meters above sea level, and many of the farmers have coffee planted much higher than this. They've been around since 1989, and in 2012 were top placement in Burundi Cup of Excellence competition, no small task. This is a honey process lot, but the look of the green and bright cup flavors might lead you to think otherwise! Masha roasts easily, very little roast color variance as you move from yellowing, to browning, and onto first crack. It helps that the sort is so good, with little to no trace of underripe coffee in the few hundred grams of coffee that we roasted.",-2.983129,29.650011,8.7,9.0,0,9.0,8.7,9.0,8.8,9.0,9.1,8.5,0.0,2.0,3.0,2.0,2.0,2.0,1.5,2.5,0.0,0.0,2.5,3.5
Burundi Gaterama Agahore Station,https://www.sweetmarias.com/burundi-gaterama-agahore-station-7935.html,"Caramel sweetness underscores clean flavor profiles, and brisk acidity highlights top notes of Assam tea and spice. Dark roasts pull out bittersweet chocolate flavors and satiny mouthfeel. City to Full City+. Good for espresso.",7.15,Wet Process (Washed),88.4,Bourbon Types,Yes,"Gaterama Village, Gitega, Bugendana Commune",Wet Process (Washed),Raised Bed Sun-Dried,March 2024 Arrival,23,60 KG,GrainPro Liner,Bourbon,A1,".4 d/300gr, 15-17 Screen",City to Full City+,Farm Gate,"This coffee comes from the Agahore farm and wet mill site in Gaterama village, located in the greater Gitega Province. With the Mubarazi River running through the land, they have good access to water for wet processing, and have implemented a water separation/filtration system to clean dirt and debris from the water before using to process coffee. Agahore is close to the Murambi site, another washing station we buy coffee from, and also managed by the same person. There is much community involvement in managing both sites, actually, and the workers are provided with second payments at the end of each harvest season after all of the coffee is sold, health insurance for workers and their families, and a fertilizer program with free goats. The cultivars planted are mostly Bourbon, and Mibirizi, an older cultivar to the region that likely has Typica genetic roots. We also purchased a dry process lot from Agahore station that will be available very soon.",-3.430232,29.926886,8.6,8.7,0,8.8,8.5,8.8,9.0,8.5,8.8,8.5,0.0,0.0,3.0,2.5,1.0,1.0,0.0,3.5,0.0,0.0,2.5,3.5
Burundi Kayanza Gakenke,https://www.sweetmarias.com/burundi-kayanza-gakenke-7879.html,"A delicious example from this incredible coffee origin, impressive sweetness accented by notes of fine black teas, like Earl Grey, with orange peel, lively lemon acidity, and a finish framed by aromatic baking spices. City to Full City.",7.35,Wet Process (Washed),89.3,Bourbon Types,Yes,"Gakenke, Kayanza Province",Wet Process (Washed),Raised Bed Sun-dried,March 2024 Arrival,40,60 KG,GrainPro Liner,Bourbon,A1,".4 d/300gr, 16-18 Screen",City to Full City,Farm Gate,"Gakenke is a coffee station in Gatara Commune, Kayanza Province of Burundi. Farmers grow mostly older bourbon types, the original coffee cultivar introduced to the area in the 1930s by Catholic monks traveling from the island of Reunion. Gakenke sits at 1675 meters above sea level, and many of the farmers have coffee planted much higher than this. Gakenke is named after a plant that grows wild in the area with thin, hollow stems that are commonly used to drink the locally made banana beer. Gakenke pulls clean water from the Rivubo river that runs alongside the station site. During the harvest season 1,900 local coffee farmers from 22 neighboring villages sell their coffee to Gakenke, where it is processed as fully washed and naturally in whole cherry.",-3.005777,29.641380,8.8,9.0,0,9.0,8.5,9.0,8.8,9.0,9.0,8.5,0.0,2.0,3.5,1.0,2.0,2.0,0.0,3.0,0.0,0.0,2.5,3.5
Burundi Kayanza Nemba,https://www.sweetmarias.com/burundi-kayanza-nemba-7881.html,"Light roasts have tea-like characteristics in the brewed coffee, chamomile flower, spiced Darjeeling, and orange black tea. Accents of apple and cherry come up in the cup, and acidity has citrus-like brilliance. City to Full City.",8.40,Wet Process (Washed),90,Bourbon Types,Yes,Kayanza Province,Wet Process (Washed),Raised Bed Sun Dried,March 2024 Arrival,40,60 KG,GrainPro Liner,Bourbon,A1,".4 d/300gr, 16-18 Screen",City to Full City,Farm Gate,"Nemba Station is a coffee cherry collection and processing site located in Kayanza, Burundi's northern province that borders neighboring Rwanda. Farmers from surrounding ""collines"", or hill tops, deliver their harvest in whole cherry at the Nemba site, where it is then wet processed and then dried. Kayanza Province itself sits at 1800 meters above sea level, and the farms from the 15 hill tops that serve the Nemba Station top out at over 2000 meters. Farmers grow mostly older bourbon types, the original coffee cultivar introduced to the area in the 1930s by Catholic monks traveling from the island of Reunion. Nemba has been around since the early 1990s, and this year placed top 10 at the Burundi Cup of Excellence competition, no small task. Nemba roasts easily, very little roast color variance as you move from yellowing, to browning, and onto first crack. It helps that the sort is so good, with little to no trace of underripe coffee in the few hundred grams of coffee that we roasted.",-2.9215041,29.6178102,9.0,9.2,0,9.2,8.5,9.0,8.8,9.0,9.1,8.5,1.0,0.0,4.0,1.0,2.0,2.0,0.0,2.5,0.0,0.0,3.0,3.5
Cameroon Kouoptamo Cooperative,https://www.sweetmarias.com/cameroon-kouoptamo-cooperative-7899.html,"Overall, this Cameroon lot is a very balanced drinking coffee, with notable, weighty body, and well-integrated acidity. Filbert nut, toasted coconut, zested citrus peel, herbal tones in the finish. City+ to Full City+.",7.45,Wet Process (Washed),86,"Bourbon Types, Heirloom Types",No,Kouoptamo,Wet Process (Washed),Raised Bed Sun-Dried,May 2024 Arrival,25,60 KG,GrainPro Liner,"Java, Jamaica",Grade 1,".9 d/300gr, 15+ Screen - some insect damage, withered/broken beans - we also spotted a couple seeds/lentils in the 132# bag we just opened; we removed them by hand but 1 or 2 may make it through our own screening",City+ to Full City+,N/A,"Cameroon is an interesting origin in the Specialty Coffee terms. For starters, this is West African coffee, not East African like most other arabica offerings such as Kenya, Zimbabwe, Rwanda. And a large percentage of Cameroon coffee has traditionally been robusta, grown in all provinces except the north, while arabica is mainly produced in the high altitudes of the west, northwest and east. The western highlands of Cameroon, where much of the coffee is grown, averages about 5,000 feet above sea level and has two distinct seasons, the rainy season and dry season, which benefits quality arabica. This lot is from the Grassfields Cooperative, located in the Bamenda Plateau region. However, this lot is from small holder farms in Kouoptamo, not too far from the mountainous Bamboutos region. The cooperative produces both wet and dry process coffees, and this is the former. They depulp coffee into tanks where it ferments for up to 36 hours to break down the sticky fruit mucilage, which can then be washed away with clean water. Coffee is dried on raised beds for around a week to 10 days. Most of the coffee is grown around 1000 to 1200 meters, and you see a lot of Java and Jamaica varieties planted in Cameroon. I want to mention that found a few lentils/seeds in the 132# jute bag we just opened. It's not all that uncommon in coffee since they often share the same drying patio. Some mills are better than others at getting it out, but it does come with the territory. We removed what we spotted by hand, but expect that one or two may make it through our own screening every now and then. Just give the green beans a scan before roasting. They stand out, and are easy to spot!",5.647931,10.610852,8.2,8.4,0,8.3,9.0,8.0,8.0,8.0,8.5,8.3,0.0,1.0,2.5,2.0,1.0,1.0,0.0,2.0,2.5,1.5,0.0,4.0
