Date,Total Usage kWh,AverageTemperature
07/31/2022,51.113,74
08/01/2022,43.388,74
08/02/2022,56.117,81
08/03/2022,62.787,81
08/04/2022,73.979,81
08/05/2022,69.186,80
08/06/2022,36.259,81
08/07/2022,45.183,84
08/08/2022,77.905,85
08/09/2022,72.374,84
08/10/2022,61.728,80
08/11/2022,35.252,80
08/12/2022,46.264,76
08/13/2022,29.874,73
08/14/2022,39.027,75
08/15/2022,41.986,71
08/16/2022,34.525,75
08/17/2022,19.277,70
08/18/2022,24.164,73
08/19/2022,26.994,77
08/20/2022,13.575,81
08/21/2022,21.35,76
08/22/2022,16.966,74
08/23/2022,16.409,76
08/24/2022,24.251,77
08/25/2022,21.103,79
08/26/2022,17.582,81
08/27/2022,16.844,80
08/28/2022,21.374,79
08/29/2022,24.729,82
08/30/2022,32.761,79
08/31/2022,15.333,75
09/01/2022,14.366,76
09/02/2022,16.325,73
09/03/2022,20.606,76
09/04/2022,16.994,80
09/05/2022,13.873,74
09/06/2022,10.278,73
09/07/2022,18.905,69
09/08/2022,22.365,72
09/09/2022,10.18,72
09/10/2022,12.456,70
09/11/2022,8.036,68
09/12/2022,17.723,72
09/13/2022,10.022,72
09/14/2022,15.755,69
09/15/2022,9.726,67
09/16/2022,14.701,64
09/17/2022,14.987,69
09/18/2022,15.998,73
09/19/2022,8.822,71
09/20/2022,19.596,71
09/21/2022,10.883,72
09/22/2022,8.018,68
09/23/2022,5.525,58
09/24/2022,8.109,59
09/25/2022,7.116,62
09/26/2022,5.01,64
09/27/2022,5.159,60
09/28/2022,4.848,58
09/29/2022,6.492,58
09/30/2022,9.97,55
10/01/2022,11.03,56
10/02/2022,9.433,56
10/03/2022,12.009,52
10/04/2022,8.143,49
10/05/2022,8.175,55
10/06/2022,11.03,59
10/07/2022,8.795,61
10/08/2022,8.052,51
10/09/2022,13.647,50
10/10/2022,10.361,54
10/11/2022,10.126,56
10/12/2022,10.141,59
10/13/2022,9.828,62
10/14/2022,10.121,56
10/15/2022,12.543,57
10/16/2022,9.22,55
10/17/2022,9.071,55
10/18/2022,9.681,48
10/19/2022,13.567,48
10/20/2022,10.868,50
10/21/2022,11.616,49
10/22/2022,10.321,51
10/23/2022,14.529,52
10/24/2022,9.105,58
10/25/2022,8.362,61
10/26/2022,9.119,60
10/27/2022,10.012,56
10/28/2022,9.162,48
10/29/2022,10.27,45
10/30/2022,10.319,47
10/31/2022,16.639,53
11/01/2022,13.657,60
11/02/2022,10.758,58
11/03/2022,10.29,55
11/04/2022,12.941,58
11/05/2022,8.065,68
11/06/2022,13.904,69
11/07/2022,8.756,67
11/08/2022,11.429,50
11/09/2022,12.738,45
11/10/2022,12.438,51
11/11/2022,16.376,62
11/12/2022,8.985,62
11/13/2022,10.425,45
11/14/2022,13.407,39
11/15/2022,16.027,34
11/16/2022,14.453,41
11/17/2022,13.042,39
11/18/2022,9.623,38
11/19/2022,11.66,35
11/20/2022,12.885,32
11/21/2022,11.118,33
11/22/2022,14.821,36
11/23/2022,9.261,38
11/24/2022,9.615,38
11/25/2022,9.562,44
11/26/2022,13.497,45
11/27/2022,10.116,42
11/28/2022,9.114,48
11/29/2022,10.286,40
11/30/2022,9.84,46
12/01/2022,9.994,36
12/02/2022,12.18,35
12/03/2022,14.396,48
12/04/2022,11.398,36
12/05/2022,10.502,33
12/06/2022,11.802,37
12/07/2022,13.287,46
12/08/2022,11.91,46
12/09/2022,9.386,37
12/10/2022,11.825,35
12/11/2022,10.907,37
12/12/2022,9.559,38
12/13/2022,9.822,30
12/14/2022,15.696,29
12/15/2022,10.535,34
12/16/2022,10.147,40
12/17/2022,12.046,37
12/18/2022,11.627,34
12/19/2022,16.163,31
12/20/2022,12.521,32
12/21/2022,13.268,29
12/22/2022,12.824,36
12/23/2022,15.543,27
12/24/2022,14.124,10
12/25/2022,18.205,20
12/26/2022,12.497,24
12/27/2022,11.426,31
12/28/2022,12.345,36
12/29/2022,10.472,33
12/30/2022,13.395,40
12/31/2022,11.416,42
01/01/2023,12.526,45
01/02/2023,10.279,44
01/03/2023,14.499,47
01/04/2023,11.865,49
01/05/2023,13.475,49
01/06/2023,14.149,42
01/07/2023,10.909,40
01/08/2023,10.162,38
01/09/2023,11.473,37
01/10/2023,10.975,36
01/11/2023,11.629,36
01/12/2023,10.443,42
01/13/2023,10.378,43
01/14/2023,11.263,31
01/15/2023,11.069,33
01/16/2023,15.172,38
01/17/2023,15.97,38
01/18/2023,13.163,43
01/19/2023,11.114,39
01/20/2023,9.54,42
01/21/2023,11.778,39
01/22/2023,12.869,35
01/23/2023,11.598,38
01/24/2023,15.403,38
01/25/2023,10.573,34
01/26/2023,11.831,39
01/27/2023,12.5,36
01/28/2023,10.296,42
01/29/2023,18.144,38
01/30/2023,8.84,45
01/31/2023,7.396,39
02/01/2023,9.301,31
02/02/2023,8.766,32
02/03/2023,12.392,26
02/04/2023,14.163,21
02/05/2023,7.697,34
02/06/2023,7.944,39
02/07/2023,7.222,33
02/08/2023,12.192,41
02/09/2023,6.367,47
02/10/2023,6.943,50
02/11/2023,10.66,40
02/12/2023,15.996,37
02/13/2023,7.722,46
02/14/2023,7.359,46
02/15/2023,7.901,56
02/16/2023,6.671,50
02/17/2023,6.308,46
02/18/2023,7.929,35
02/19/2023,17.95,41
02/20/2023,4.211,46
02/21/2023,4.19,47
02/22/2023,5.796,37
02/23/2023,5.885,51
02/24/2023,6.864,47
02/25/2023,14.657,32
02/26/2023,13.125,44
02/27/2023,6.786,41
02/28/2023,7.09,39
03/01/2023,7.194,40
03/02/2023,7.354,48
03/03/2023,12.581,39
03/04/2023,7.749,42
03/05/2023,6.698,43
03/06/2023,6.558,43
03/07/2023,8.697,42
03/08/2023,7.492,41
03/09/2023,7.551,41
03/10/2023,10.718,36
03/11/2023,8.889,38
03/12/2023,7.722,37
03/13/2023,12.022,39
03/14/2023,8.778,35
03/15/2023,9.882,40
03/16/2023,6.333,47
03/17/2023,6.016,49
